semilla;corte;ganancia;metrica;modelo
282001;9500;53,927;53,927;sin FE
282001;10000;54,647;54,647;sin FE
282001;10500;55,847;55,847;sin FE
282001;11000;57,797;57,797;sin FE
282001;11500;58,227;58,227;sin FE
282001;12000;58,307;58,307;sin FE
282001;12500;57,787;57,787;sin FE
282001;13000;58,297;58,297;sin FE
959597;9000;58,217;58,217;sin FE
959597;9500;58,407;58,407;sin FE
959597;10000;57,737;57,737;sin FE
959597;10500;57,507;57,507;sin FE
959597;11000;58,557;58,557;sin FE
959597;11500;58,627;58,627;sin FE
959597;12000;58,287;58,287;sin FE
959597;12500;57,607;57,607;sin FE
959597;13000;57,437;57,437;sin FE
223547;9000;56,627;56,627;sin FE
223547;9500;56,727;56,727;sin FE
223547;10000;57,157;57,157;sin FE
223547;10500;58,407;58,407;sin FE
223547;11000;58,957;58,957;sin FE
223547;11500;58,967;58,967;sin FE
223547;12000;58,667;58,667;sin FE
223547;12500;57,697;57,697;sin FE
223547;13000;58,267;58,267;sin FE
409823;9000;57,967;57,967;sin FE
409823;9500;57,387;57,387;sin FE
409823;10000;59,467;59,467;sin FE
409823;10500;59,917;59,917;sin FE
409823;11000;59,207;59,207;sin FE
409823;11500;59,227;59,227;sin FE
409823;12000;58,277;58,277;sin FE
409823;12500;58,817;58,817;sin FE
409823;13000;59,447;59,447;sin FE
622669;9000;55,947;55,947;sin FE
622669;9500;56,107;56,107;sin FE
622669;10000;57,387;57,387;sin FE
622669;10500;57,987;57,987;sin FE
622669;11000;57,647;57,647;sin FE
622669;11500;58,667;58,667;sin FE
622669;12000;58,027;58,027;sin FE
622669;12500;57,637;57,637;sin FE
622669;13000;58,217;58,217;sin FE
118043;9000;56,217;56,217;sin FE
118043;9500;56,337;56,337;sin FE
118043;10000;57,317;57,317;sin FE
118043;10500;57,847;57,847;sin FE
118043;11000;58,727;58,727;sin FE
118043;11500;57,787;57,787;sin FE
118043;12000;57,497;57,497;sin FE
118043;12500;57,997;57,997;sin FE
118043;13000;58,547;58,547;sin FE
676987;9000;56,397;56,397;sin FE
676987;9500;56,017;56,017;sin FE
676987;10000;55,597;55,597;sin FE
676987;10500;56,867;56,867;sin FE
676987;11000;56,207;56,207;sin FE
676987;11500;56,357;56,357;sin FE
676987;12000;56,067;56,067;sin FE
676987;12500;57,107;57,107;sin FE
676987;13000;57,117;57,117;sin FE
803927;9000;57,327;57,327;sin FE
803927;9500;58,287;58,287;sin FE
803927;10000;57,627;57,627;sin FE
803927;10500;58,897;58,897;sin FE
803927;11000;58,387;58,387;sin FE
803927;11500;57,647;57,647;sin FE
803927;12000;57,377;57,377;sin FE
803927;12500;57,137;57,137;sin FE
803927;13000;56,387;56,387;sin FE
841063;9000;55,897;55,897;sin FE
841063;9500;55,897;55,897;sin FE
841063;10000;56,637;56,637;sin FE
841063;10500;56,787;56,787;sin FE
841063;11000;58,237;58,237;sin FE
841063;11500;58,757;58,757;sin FE
841063;12000;58,567;58,567;sin FE
841063;12500;58,517;58,517;sin FE
841063;13000;57,787;57,787;sin FE
803119;9000;56,807;56,807;sin FE
803119;9500;58,217;58,217;sin FE
803119;10000;57,917;57,917;sin FE
803119;10500;57,937;57,937;sin FE
803119;11000;58,147;58,147;sin FE
803119;11500;57,817;57,817;sin FE
803119;12000;58,307;58,307;sin FE
803119;12500;58,357;58,357;sin FE
803119;13000;58,117;58,117;sin FE
823819;9000;56,747;56,747;Variables Gustavo
823819;9500;56,577;56,577;Variables Gustavo
823819;10000;58,987;58,987;Variables Gustavo
823819;10500;58,717;58,717;Variables Gustavo
823819;11000;57,567;57,567;Variables Gustavo
823819;11500;56,837;56,837;Variables Gustavo
823819;12000;56,767;56,767;Variables Gustavo
823819;12500;56,997;56,997;Variables Gustavo
823819;13000;56,187;56,187;Variables Gustavo
319147;9000;56,927;56,927;Variables Gustavo
319147;9500;56,507;56,507;Variables Gustavo
319147;10000;56,607;56,607;Variables Gustavo
319147;10500;56,327;56,327;Variables Gustavo
319147;11000;56,697;56,697;Variables Gustavo
319147;11500;58,117;58,117;Variables Gustavo
319147;12000;57,067;57,067;Variables Gustavo
319147;12500;56,537;56,537;Variables Gustavo
319147;13000;56,637;56,637;Variables Gustavo
891017;9000;56,687;56,687;Variables Gustavo
891017;9500;57,417;57,417;Variables Gustavo
891017;10000;57,247;57,247;Variables Gustavo
891017;10500;57,627;57,627;Variables Gustavo
891017;11000;57,317;57,317;Variables Gustavo
891017;11500;56,927;56,927;Variables Gustavo
891017;12000;56,287;56,287;Variables Gustavo
891017;12500;56,407;56,407;Variables Gustavo
